,"FY2022 Per Diem Rates - Effective October 1, 2021",,,,,,
ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY22 Lodging Rate,FY22 M&IE
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,April 1,September 30,$ 199,$ 79
427,CO,Douglas ,Douglas,October 1,May 31,$ 115,$ 69
427,CO,Douglas ,Douglas,June 1,August 31,$ 140,$ 69
427,CO,Douglas ,Douglas,September 1,September 30,$ 115,$ 69
57,CO,Durango,La Plata,October 1,May 31,$ 102,$ 74
57,CO,Durango,La Plata,June 1,September 30,$ 151,$ 74
58,CO,Fort Collins / Loveland,Larimer,,,$ 113,$ 69
493,CO,Grand Lake,Grand,October 1,November 30,$ 138,$ 79
493,CO,Grand Lake,Grand,December 1,March 31,$ 217,$ 79
493,CO,Grand Lake,Grand,April 1,May 31,$ 114,$ 79
493,CO,Grand Lake,Grand,June 1,September 30,$ 138,$ 79
61,CO,Montrose,Montrose,October 1,May 31,$ 99,$ 69
61,CO,Montrose,Montrose,June 1,August 31,$ 113,$ 69
61,CO,Montrose,Montrose,September 1,September 30,$ 99,$ 69
63,CO,Silverthorne / Breckenridge,Summit,October 1,November 30,$ 152,$ 79
63,CO,Silverthorne / Breckenridge,Summit,December 1,March 31,$ 250,$ 79
63,CO,Silverthorne / Breckenridge,Summit,April 1,May 31,$ 119,$ 79
63,CO,Silverthorne / Breckenridge,Summit,June 1,September 30,$ 152,$ 79
64,CO,Steamboat Springs,Routt,October 1,November 30,$ 115,$ 79
64,CO,Steamboat Springs,Routt,December 1,March 31,$ 129,$ 79
64,CO,Steamboat Springs,Routt,April 1,May 31,$ 96,$ 79
64,CO,Steamboat Springs,Routt,June 1,September 30,$ 115,$ 79
65,CO,Telluride,San Miguel,October 1,November 30,$ 197,$ 79
65,CO,Telluride,San Miguel,December 1,March 31,$ 418,$ 79
65,CO,Telluride,San Miguel,April 1,September 30,$ 197,$ 79
66,CO,Vail,Eagle,October 1,November 30,$ 179,$ 79
66,CO,Vail,Eagle,December 1,March 31,$ 397,$ 79
66,CO,Vail,Eagle,April 1,September 30,$ 179,$ 79
67,CT,Bridgeport / Danbury,Fairfield,,,$ 125,$ 69
68,CT,Cromwell / Old Saybrook,Middlesex,,,$ 97,$ 64
69,CT,Hartford,Hartford,,,$ 132,$ 69
71,CT,New Haven,New Haven,,,$ 114,$ 69
72,CT,New London / Groton,New London,,,$ 104,$ 69
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",October 1,October 31,$ 257,$ 79
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",November 1,February 28,$ 188,$ 79
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",March 1,June 30,$ 258,$ 79
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",July 1,August 31,$ 172,$ 79
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",September 1,September 30,$ 257,$ 79
77,DE,Lewes,Sussex,October 1,April 30,$ 96,$ 64
77,DE,Lewes,Sussex,May 1,June 30,$ 138,$ 64
77,DE,Lewes,Sussex,July 1,August 31,$ 200,$ 64
77,DE,Lewes,Sussex,September 1,September 30,$ 96,$ 64
78,DE,Wilmington,New Castle,,,$ 131,$ 64
99,FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,October 1,November 30,$ 121,$ 69
99,FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,December 1,April 30,$ 205,$ 69
99,FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,May 1,September 30,$ 121,$ 69
80,FL,Bradenton,Manatee,October 1,November 30,$ 96,$ 64
80,FL,Bradenton,Manatee,December 1,January 31,$ 111,$ 64
80,FL,Bradenton,Manatee,February 1,March 31,$ 150,$ 64
80,FL,Bradenton,Manatee,April 1,September 30,$ 96,$ 64
81,FL,Cocoa Beach,Brevard,October 1,January 31,$ 141,$ 74
81,FL,Cocoa Beach,Brevard,February 1,March 31,$ 171,$ 74
81,FL,Cocoa Beach,Brevard,April 1,September 30,$ 141,$ 74
82,FL,Daytona Beach,Volusia,October 1,January 31,$ 96,$ 69
82,FL,Daytona Beach,Volusia,February 1,March 31,$ 130,$ 69
82,FL,Daytona Beach,Volusia,April 1,July 31,$ 114,$ 69
82,FL,Daytona Beach,Volusia,August 1,September 30,$ 96,$ 69
84,FL,Fort Lauderdale,Broward,October 1,December 31,$ 151,$ 69
84,FL,Fort Lauderdale,Broward,January 1,April 30,$ 204,$ 69
84,FL,Fort Lauderdale,Broward,May 1,September 30,$ 123,$ 69
85,FL,Fort Myers,Lee,October 1,January 31,$ 117,$ 64
85,FL,Fort Myers,Lee,February 1,March 31,$ 208,$ 64
85,FL,Fort Myers,Lee,April 1,September 30,$ 117,$ 64
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,October 1,October 31,$ 142,$ 69
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,November 1,February 28,$ 96,$ 69
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,March 1,May 31,$ 166,$ 69
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,June 1,July 31,$ 238,$ 69
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,August 1,September 30,$ 142,$ 69
89,FL,Gulf Breeze,Santa Rosa,October 1,February 28,$ 100,$ 59
89,FL,Gulf Breeze,Santa Rosa,March 1,May 31,$ 129,$ 59
89,FL,Gulf Breeze,Santa Rosa,June 1,July 31,$ 177,$ 59
89,FL,Gulf Breeze,Santa Rosa,August 1,September 30,$ 100,$ 59
91,FL,Key West,Monroe,October 1,November 30,$ 207,$ 69
91,FL,Key West,Monroe,December 1,April 30,$ 304,$ 69
91,FL,Key West,Monroe,May 1,July 31,$ 208,$ 69
91,FL,Key West,Monroe,August 1,September 30,$ 172,$ 69
95,FL,Miami,Miami-Dade,October 1,November 30,$ 127,$ 69
95,FL,Miami,Miami-Dade,December 1,March 31,$ 192,$ 69
95,FL,Miami,Miami-Dade,April 1,May 31,$ 150,$ 69
95,FL,Miami,Miami-Dade,June 1,September 30,$ 115,$ 69
96,FL,Naples,Collier,October 1,November 30,$ 121,$ 69
96,FL,Naples,Collier,December 1,January 31,$ 194,$ 69
96,FL,Naples,Collier,February 1,April 30,$ 235,$ 69
96,FL,Naples,Collier,May 1,September 30,$ 121,$ 69
98,FL,Orlando,Orange,October 1,December 31,$ 129,$ 69
98,FL,Orlando,Orange,January 1,March 31,$ 153,$ 69
98,FL,Orlando,Orange,April 1,September 30,$ 129,$ 69
100,FL,Panama City,Bay,October 1,February 28,$ 146,$ 64
100,FL,Panama City,Bay,March 1,May 31,$ 165,$ 64
100,FL,Panama City,Bay,June 1,September 30,$ 146,$ 64
101,FL,Pensacola ,Escambia,October 1,February 28,$ 109,$ 64
101,FL,Pensacola ,Escambia,March 1,May 31,$ 134,$ 64
101,FL,Pensacola ,Escambia,June 1,July 31,$ 170,$ 64
101,FL,Pensacola ,Escambia,August 1,September 30,$ 109,$ 64
102,FL,Punta Gorda,Charlotte,October 1,January 31,$ 96,$ 64
102,FL,Punta Gorda,Charlotte,February 1,March 31,$ 163,$ 64
102,FL,Punta Gorda,Charlotte,April 1,September 30,$ 96,$ 64
103,FL,Sarasota,Sarasota,October 1,January 31,$ 103,$ 69
103,FL,Sarasota,Sarasota,February 1,April 30,$ 154,$ 69
103,FL,Sarasota,Sarasota,May 1,September 30,$ 103,$ 69
104,FL,Sebring,Highlands,October 1,January 31,$ 96,$ 64
104,FL,Sebring,Highlands,February 1,March 31,$ 159,$ 64
104,FL,Sebring,Highlands,April 1,September 30,$ 96,$ 64
105,FL,St. Augustine,St. Johns,,,$ 133,$ 69
106,FL,Stuart,Martin,October 1,January 31,$ 111,$ 69
106,FL,Stuart,Martin,February 1,March 31,$ 169,$ 69
106,FL,Stuart,Martin,April 1,September 30,$ 111,$ 69
